MolFrac_1,T
0.1434,298.15
0.8566,298.15
1,298.15
1,298.15
0.3301,298.15
0.6699,298.15
0.6221,298.15
0.3779,298.15
0.936,298.15
0.064,298.15
0.1016,298.15
0.8984,298.15
1,298.15
1,298.15
0.1959,298.15
0.8041,298.15
0.2955,298.15
0.7045,298.15
0.3807,298.15
0.6193,298.15
0.485,298.15
0.515,298.15
0.5811,298.15
0.4189,298.15
0.6648,298.15
0.3352,298.15
0.7605,298.15
0.2395,298.15
0.8672,298.15
0.1328,298.15
0.845,297.994
0.155,297.994
1,297.994
1,297.994
0.7031,297.994
0.2969,297.994
0.5513,297.994
0.4487,297.994
0.4464,297.994
0.5536,297.994
0.2915,297.994
0.7085,297.994
0.1553,297.994
0.8447,297.994
0.1468,297.994
0.8532,297.994
0.8939,293.15
0.1061,293.15
1,293.15
1,293.15
0.8939,303.15
0.1061,303.15
1,303.15
1,303.15
0.7798,293.15
0.2202,293.15
0.7798,303.15
0.2202,303.15
0.6794,293.15
0.3206,293.15
0.6794,303.15
0.3206,303.15
0.5722,293.15
0.4278,293.15
0.5722,303.15
0.4278,303.15
0.4598,293.15
0.5402,293.15
0.4598,303.15
0.5402,303.15
0.3678,293.15
0.6322,293.15
0.3678,303.15
0.6322,303.15
0.2718,293.15
0.7282,293.15
0.2718,303.15
0.7282,303.15
0.1802,293.15
0.8198,293.15
0.1802,303.15
0.8198,303.15
0.1006,293.15
0.8994,293.15
0.1006,303.15
0.8994,303.15
0.8191,273.15
0.1809,273.15
1,273.15
1,273.15
0.6305,273.15
0.3695,273.15
0.4813,273.15
0.5187,273.15
0.3394,273.15
0.6606,273.15
0.1526,273.15
0.8474,273.15
0.8191,283.144
0.1809,283.144
1,283.144
1,283.144
0.6305,283.144
0.3695,283.144
0.4813,283.144
0.5187,283.144
0.3394,283.144
0.6606,283.144
0.1526,283.144
0.8474,283.144
0.8191,293.138
0.1809,293.138
1,293.138
1,293.138
0.6305,293.138
0.3695,293.138
0.4813,293.138
0.5187,293.138
0.3394,293.138
0.6606,293.138
0.1526,293.138
0.8474,293.138
0.8191,303.134
0.1809,303.134
1,303.134
1,303.134
0.6305,303.134
0.3695,303.134
0.4813,303.134
0.5187,303.134
0.3394,303.134
0.6606,303.134
0.1526,303.134
0.8474,303.134
0.8191,313.13
0.1809,313.13
1,313.13
1,313.13
0.6305,313.13
0.3695,313.13
0.4813,313.13
0.5187,313.13
0.3394,313.13
0.6606,313.13
0.1526,313.13
0.8474,313.13
0.8191,323.127
0.1809,323.127
1,323.127
1,323.127
0.6305,323.127
0.3695,323.127
0.4813,323.127
0.5187,323.127
0.3394,323.127
0.6606,323.127
0.1526,323.127
0.8474,323.127
0.8825,297.994
0.1175,297.994
1,297.994
1,297.994
0.7346,297.994
0.2654,297.994
0.5339,297.994
0.4661,297.994
0.4414,297.994
0.5586,297.994
0.3673,297.994
0.6327,297.994
0.1836,297.994
0.8164,297.994
0.0918,297.994
0.9082,297.994
0.0342,297.994
0.9658,297.994
0.8692,298.144
0.1308,298.144
1,298.144
1,298.144
0.7471,298.144
0.2529,298.144
0.6315,298.144
0.3685,298.144
0.5216,298.144
0.4784,298.144
0.3337,298.144
0.6663,298.144
0.1976,298.144
0.8024,298.144
0.0791,298.144
0.9209,298.144
0.8573,298.15
0.1427,298.15
1,298.15
1,298.15
0.7556,298.15
0.2444,298.15
0.6223,298.15
0.3777,298.15
0.5072,298.15
0.4928,298.15
0.4575,298.15
0.5425,298.15
0.3645,298.15
0.6355,298.15
0.2647,298.15
0.7353,298.15
0.1427,298.15
0.8573,298.15
0.0547,298.15
0.9453,298.15
0.9634,303.15
0.0366,303.15
1,303.15
1,303.15
